norm_name,conference
adnan olmez,DevTalks 2026
adrian postelnicu,DevTalks 2026
aleodor tabarcea,DevTalks 2026
alex lakatos,DevTalks 2026
alexander gunsche,DevTalks 2026
alexandra badea,DevTalks 2026
alexandru cozma,DevTalks 2026
alexandru dejanu,DevTalks 2026
alexandru gheara,DevTalks 2026
alexandru gheorghe,DevTalks 2026
alexandru oancea,DevTalks 2026
alexandru catalin dinis,DevTalks 2026
ana maria masoud,DevTalks 2026
anca grigoras,DevTalks 2026
anca luca,DevTalks 2026
anda spataru,DevTalks 2026
anders lybecker,DevTalks 2026
andreea dragomirescu,DevTalks 2026
andreea gulie,DevTalks 2026
andreea loredana boghiu,DevTalks 2026
andreea nate,DevTalks 2026
andreea elena bodea,DevTalks 2026
andrei ilie,DevTalks 2026
andrei stanca,DevTalks 2026
andrei timofticiuc,DevTalks 2026
bar s sar alioglu,DevTalks 2026
bianca bardas,DevTalks 2026
bogdan agache,DevTalks 2026
bogdan burtea,DevTalks 2026
bogdan cioc,DevTalks 2026
bogdan neacsu,DevTalks 2026
bogdan popescu,DevTalks 2026
bogdan stelea,DevTalks 2026
brian vermeer,DevTalks 2026
catalin gheorghiu,DevTalks 2026
chris armstrong,DevTalks 2026
clara popescu brooks,DevTalks 2026
claudiu gura,DevTalks 2026
consultantu cristi,DevTalks 2026
corina patachia,DevTalks 2026
corina stanescu,DevTalks 2026
cosmin argatu,DevTalks 2026
cosmin trandafir,DevTalks 2026
cristian cordos,DevTalks 2026
cristina barbu,DevTalks 2026
cristina gurguta,DevTalks 2026
dan berbece,DevTalks 2026
dan mihailescu,DevTalks 2026
dan patrascu baba,DevTalks 2026
dan mihai dinu,DevTalks 2026
daniel costea,DevTalks 2026
daniel fifiita,DevTalks 2026
daniel manolache,DevTalks 2026
daniela prodan,DevTalks 2026
danny preussler,DevTalks 2026
diana rusu,DevTalks 2026
dinu stefan rusu,DevTalks 2026
dmytro tereshchenko,DevTalks 2026
donny wals,DevTalks 2026
dovile gray,DevTalks 2026
dr giulia r tufaro,DevTalks 2026
elena hartup,DevTalks 2026
emanuele bartolesi,DevTalks 2026
erik wilde,DevTalks 2026
erika dietrick,DevTalks 2026
etienne bernard,DevTalks 2026
evelin bratu,DevTalks 2026
fabiola cazan,DevTalks 2026
florentina saizu,DevTalks 2026
florin soare,DevTalks 2026
gabriel preda,DevTalks 2026
gabriela pepino,DevTalks 2026
gabriela rosca,DevTalks 2026
georg dresler,DevTalks 2026
george barbulescu,DevTalks 2026
george patrascan,DevTalks 2026
georgeana trofim,DevTalks 2026
gerard van engelen,DevTalks 2026
gia ciorabai,DevTalks 2026
haim michael,DevTalks 2026
hakan meva,DevTalks 2026
hakan turkmenoglu,DevTalks 2026
henning schwentner,DevTalks 2026
horia niculescu,DevTalks 2026
iman zarrabian,DevTalks 2026
ioana chiorean,DevTalks 2026
iustin dinca,DevTalks 2026
jeff watkins,DevTalks 2026
jonathan filogna,DevTalks 2026
joseph katsioloudes,DevTalks 2026
kevin dubois,DevTalks 2026
krisztian papp,DevTalks 2026
laura trotta,DevTalks 2026
laurentiu spilca,DevTalks 2026
leena liukkonen,DevTalks 2026
leonard alexandru,DevTalks 2026
loredana ninov,DevTalks 2026
lucian popovici,DevTalks 2026
luiza cicone,DevTalks 2026
lukas samuolis,DevTalks 2026
marc nuri,DevTalks 2026
marian andrei,DevTalks 2026
marius costin,DevTalks 2026
marius cristea,DevTalks 2026
matei misarca,DevTalks 2026
mesut durukal,DevTalks 2026
mey beisaron,DevTalks 2026
mihaela gheorghe roman,DevTalks 2026
mihaela maciuca,DevTalks 2026
mihaela nica,DevTalks 2026
mihaela niculae,DevTalks 2026
mike dolha,DevTalks 2026
mike elsmore,DevTalks 2026
mikko paloheimo,DevTalks 2026
mircea talu,DevTalks 2026
mohamed gamal,DevTalks 2026
natalie godec,DevTalks 2026
nick ciolpan,DevTalks 2026
nico martin,DevTalks 2026
nicole mcwilliams,DevTalks 2026
nicoleta tirdea,DevTalks 2026
niels rogge,DevTalks 2026
omer adiguzel,DevTalks 2026
otto fischer,DevTalks 2026
ovidiu hupca,DevTalks 2026
ovidiu popeti,DevTalks 2026
patrick kua,DevTalks 2026
paul ardeleanu,DevTalks 2026
paula andrei,DevTalks 2026
pekka ponkanen,DevTalks 2026
petar ivaylov ivanov,DevTalks 2026
peter szanto,DevTalks 2026
piotr wicherski,DevTalks 2026
radu andries libotean,DevTalks 2026
radu stefan,DevTalks 2026
radu vunvulea,DevTalks 2026
rail mazgutov,DevTalks 2026
raluca minea,DevTalks 2026
raluca negrea,DevTalks 2026
rodica farcas,DevTalks 2026
roxana mitu,DevTalks 2026
sandra ahlgrimm,DevTalks 2026
sargis sargsyan,DevTalks 2026
silviu tudor serban,DevTalks 2026
simona cabuz,DevTalks 2026
simona sandru,DevTalks 2026
sorin mihailescu,DevTalks 2026
stefan mihai,DevTalks 2026
steliana moraru,DevTalks 2026
sushant rewaskar,DevTalks 2026
teodora musatoiu,DevTalks 2026
thomas mons,DevTalks 2026
tiberiu anghel,DevTalks 2026
tiberius hodoroaba,DevTalks 2026
timo salm,DevTalks 2026
tom colvin,DevTalks 2026
