norm_name,github_login,confidence,gh_name,gh_company,followers,method,resolved_at,recheck_after
marianne hoornenborg,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
rob hopkins,radiorob,MED,Rob Hopkins,OpenBroadcaster,29,fullname,2026-06-28,2026-09-26
bilgin ibryam,bibryam,HIGH,Bilgin Ibryam,Diagrid,329,fullname,2026-06-28,
anupriya johari,anupriyajo,HIGH,anupriya johari,,1,fullname+jvmrepo,2026-06-28,
vojin jovanovic,vjovanov,HIGH,Vojin Jovanovic,Oracle Labs,85,fullname,2026-06-28,
paula kennedy,kennvpaula,HIGH,Kennedy Vieira de Paula,,1,fullname+jvmrepo,2026-06-28,
legare kerrison,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
ramanpreet singh khinda,ramanpreetSinghKhinda,HIGH,Ramanpreet Singh Khinda,LinkedIn,26,fullname,2026-06-28,
fabian klemm,klemmpnx,MED,Fabian Klemm,,0,fullname,2026-06-28,2026-09-26
michael krimgen,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
ian lawson,utherp0,HIGH,Ian 'Uther' Lawson,Red Hat EMEA,51,fullname,2026-06-28,
mihailo markovic,sams3p10l,HIGH,Mihailo Marković,,15,fullname+jvmrepo,2026-06-28,
jules may,julescmay,HIGH,Jules May,22 Consulting Ltd,2,fullname,2026-06-28,
jonas mayer,jonasmayer,MED,Jonas Mayer,Treasure Data,14,fullname,2026-06-28,2026-09-26
paulo menon,paulomenon,HIGH,Paulo Menon,Red Hat,6,fullname,2026-06-28,
derek mortimer,pyoio,MED,Derek Mortimer,,25,fullname,2026-06-28,2026-09-26
maarten mulders,mthmulders,HIGH,Maarten Mulders,@infosupport,97,fullname,2026-06-28,
frank munz,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
alexey naiden,anayden,HIGH,Alexey Naiden,,46,fullname+jvmrepo,2026-06-28,
diana nanuti,dnanuti,HIGH,Diana Nanuti,@chainalysis ,26,fullname,2026-06-28,
