norm_name,github_login,confidence,gh_name,gh_company,followers,method,resolved_at,recheck_after
axel emmer,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
christoph engelbert,noctarius,HIGH,noctarius aka Christoph Engelbert,Dev Avocado simplyblock.io,151,fullname+dominant,2026-06-28,
nils engelke,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
nico enking,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
dan erez,danFromTelAviv,MED,Dan Erez,,25,fullname,2026-06-28,2026-09-26
leon erkarslan,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
lukas essig,kokosnuss,MED,Lukas Essig,@Atruvia,5,fullname,2026-06-28,2026-09-26
pascal euhus,PacoVK,HIGH,Pascal Euhus,@Reservix,31,fullname,2026-06-28,
claire fautsch,claireNeo,MED,Claire Fautsch,,0,fullname,2026-06-28,2026-09-26
johannes feige,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
sascha feldmann,sasfeld,HIGH,Sascha Feldmann,,10,fullname+jvmrepo,2026-06-28,
francois fernandes,fernanfs,HIGH,Francois Fernandes,ING DiBa AG,5,fullname-ascii+jvmrepo,2026-06-28,
robin ferrari,zecka,MED,Robin Ferrari,SQLI Switzerland ,17,fullname,2026-06-28,2026-09-26
milena fluck,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
marcel fluri,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
bernd fondermann,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
hergy fongue,rjtch,MED,Hergy Fongue,,11,fullname,2026-06-28,2026-09-26
christina framke,cgebken,MED,Christina Framke,,0,fullname,2026-06-28,2026-09-26
maximilian franzke,mfranzke,HIGH,Maximilian Franzke,@db-ux-design-system @db-ui @deutschebahn @dbsystel,62,fullname,2026-06-28,
maurice freund,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
uwe friedrichsen,ufried,MED,Uwe Friedrichsen,codecentric AG,19,fullname,2026-06-28,2026-09-26
thilo frotscher,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
juan fumero,jjfumero,HIGH,Juan Fumero,@oracle,87,fullname+jvmrepo,2026-06-28,
kai gellien,gftkign,MED,Kai Gellien @ GFT,,0,fullname,2026-06-28,2026-09-26
igor gembula,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
christian georg,ChristianMelz,HIGH,Christian Georg Melz,,0,fullname+jvmrepo,2026-06-28,
winfried gerlach,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
steve gerstner,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
adam giemza,deradam,HIGH,Adam Giemza,,7,fullname+jvmrepo,2026-06-28,
robert glaser,youngbrioche,MED,Robert Glaser,Exxeta,32,fullname,2026-06-28,2026-09-26
alena glogowski,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
nishu goel,NishuGoel,HIGH,Nishu Goel,@epilot-dev,304,fullname+dominant,2026-06-28,
brian goetz,briangoetz,HIGH,Brian Goetz,,314,fullname,2026-06-28,
kevin goldsmith,kevingoldsmith,HIGH,Kevin Goldsmith,"DistroKid, Nimble Autonomy & Unit Circle Media",118,fullname,2026-06-28,
nikita golovko,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
emmanuel gonzalez carmona,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
jason gorman,jasongorman,HIGH,Jason Gorman,Codemanship,172,fullname,2026-06-28,
lukas gotkowski,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
alexander gottschlich,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
michael graf,Michadelic,MED,Michael Graf,SAP SE,101,fullname,2026-06-28,2026-09-26
andreas gratz,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
marcus greuel,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
richard gross,RillyTheKid,MED,Richard Gross Jr,,0,fullname,2026-06-28,2026-09-26
sascha gro,saschalev,MED,Sascha Groß,The Real Insight,1,fullname,2026-06-28,2026-09-26
christian grumme,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
steffen grunwald,steffeng,HIGH,Steffen Grunwald,Amazon Web Services EMEA Sàrl,58,fullname+dominant,2026-06-28,
martin gunther,mintar,HIGH,Martin Günther,@DFKI-NI ,201,fullname+dominant,2026-06-28,
serafima gurevich,s-gurevich,MED,Serafima Gurevich,,2,fullname,2026-06-28,2026-09-26
halil cem gursoy,hcguersoy,HIGH,Dr. Halil-Cem Gürsoy,Capgemini,29,fullname-ascii,2026-06-28,
arno haase,arnohaase,HIGH,Arno Haase,,33,fullname+jvmrepo,2026-06-28,
matthias hagele,anotherMatze,MED,Matthias Hägele,,5,fullname,2026-06-28,2026-09-26
rainer hahnekamp,rainerhahnekamp,HIGH,Rainer Hahnekamp,https://soverius.ai,530,fullname,2026-06-28,
fabian hardt,FabianHardt,HIGH,Fabian Hardt,OPITZ CONSULTING Deutschland GmbH,6,fullname,2026-06-28,
shankara hariharan,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
simon harrer,simonharrer,HIGH,Dr. Simon Harrer,Entropy Data ,149,fullname,2026-06-28,
markus harrer,feststelltaste,HIGH,Markus Harrer,@innoq ,112,fullname,2026-06-28,
nils hartmann,nilshartmann,HIGH,Nils Hartmann,Freelancer,143,fullname,2026-06-28,
andreas hartmann,andreas-hartmann,MED,Andreas Hartmann,"@otto-ec , Blinkenlights OÜ",17,fullname,2026-06-28,2026-09-26
markus hebach,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
stefan heinzer,sth77,HIGH,Stefan Heinzer,,9,fullname+jvmrepo,2026-06-28,
marcus held,marcus-held,HIGH,Marcus Held,Backendhance,12,fullname,2026-06-28,
clemens helm,clemenshelm,MED,Clemens Helm,,73,fullname,2026-06-28,2026-09-26
christoph henkelmann,chenkelmann,HIGH,Christoph Henkelmann,,31,fullname+jvmrepo,2026-06-28,
mario herb,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
julian herzog,Julian702,HIGH,Julian Herzog,SAP,18,fullname+jvmrepo,2026-06-28,
waldemar hettmann,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
stefan hildebrandt,hildebrandttk,HIGH,Stefan Hildebrandt,,11,fullname+jvmrepo,2026-06-28,
thomas hinterwimmer,hiwit,HIGH,Thomas Hinterwimmer,AUDI AG,1,fullname,2026-06-28,
sebastian hirschmeier,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
carsten hoffmann,Morl99,HIGH,Carsten Hoffmann,DB Systel GmbH,24,fullname,2026-06-28,
michael hofmann,kmhofmann,MED,Michael Hofmann,,101,fullname,2026-06-28,2026-09-26
jonas hofmann,dogtype,MED,Jonas Hofmann,,5,fullname,2026-06-28,2026-09-26
alexander hofmann,a-a-hofmann,HIGH,Alexander Hofmann,,11,fullname+jvmrepo,2026-06-28,
marius hofmeister,MariusHof,MED,Marius Hofmeister,,0,fullname,2026-06-28,2026-09-26
jorg hohwiller,hohwille,HIGH,Jörg Hohwiller,,43,fullname+jvmrepo,2026-06-28,
torsten hopf,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
bernhard hopfenmuller,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
alexander horch,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
lutz huhnken,lutzh,HIGH,Lutz Hühnken,#opentowork,137,fullname+jvmrepo,2026-06-28,
lars hupel,larsrh,HIGH,Lars Hupel,Giesecke+Devrient,310,fullname+jvmrepo,2026-06-28,
roland hu,ro14nd-talks,MED,Roland Huß' Presentations,,5,fullname,2026-06-28,2026-09-26
michael inden,Michaeli71,MED,Michael Inden,,39,fullname,2026-06-28,2026-09-26
mirza iqbal,mjmirza,MED,Mirza Iqbal,,38,fullname,2026-06-28,2026-09-26
thorben janssen,thjanssen,HIGH,Thorben Janssen,Persistence Hub founder and Java persistence specialist,565,fullname,2026-06-28,
michael jerger,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
emily jiang,Emily-Jiang,HIGH,Emily Jiang,IBM,198,fullname,2026-06-28,
michael johann,malagant,HIGH,Michael Johann,rails-experts.com,81,fullname,2026-06-28,
alexander john anacker,ajohnanacker,HIGH,Alexander John-Anacker,@sidion,6,fullname-ascii,2026-06-28,
rod johnson,johnsonr,HIGH,Rod Johnson,Embabel,562,fullname,2026-06-28,
andreas jurgensen,ajFourteen,HIGH,Andreas Jürgensen,FOURTEEN IT,0,fullname,2026-06-28,
clemens jutte,jayonthenet,MED,Clemens Jütte,Humanitec,4,fullname,2026-06-28,2026-09-26
christian kaiser,ckaiser79,HIGH,Christian Kaiser,Continentale Krankenversicherung a.G.,0,fullname,2026-06-28,
martin kalsow,martinkalsow2222,MED,Martin Kalsow,,0,fullname,2026-06-28,2026-09-26
christoph kappel,unexist,MED,Christoph Kappel,,51,fullname,2026-06-28,2026-09-26
niklas kappler,niklaskappler,MED,Niklas Kappler,Meondi GmbH,10,fullname,2026-06-28,2026-09-26
stephan kaps,kitenco,HIGH,Stephan Kaps,Kitenco,1,fullname+jvmrepo,2026-06-28,
yogesh karve,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
michael kaufmann,wulfland,HIGH,Michael Kaufmann,@Xebia,154,fullname,2026-06-28,
christian kehl,CKehl,MED,Christian Kehl,,21,fullname,2026-06-28,2026-09-26
christopher keibel,CKeibel,MED,Christopher Keibel,,15,fullname,2026-06-28,2026-09-26
johannes kellner,johannes-kellner,MED,Johannes Kellner,,1,fullname,2026-06-28,2026-09-26
christian kemper,ck3mp3r,MED,Christian Kemper 🍉,,21,fullname,2026-06-28,2026-09-26
simon kerler,namelessvoid,MED,Simon Kerler,,20,fullname,2026-06-28,2026-09-26
patrick kiessling,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
thomas kloppe,MimirsSource,HIGH,Thomas Kloppe,,0,fullname+jvmrepo,2026-06-28,
niko kobler,dasniko,HIGH,Niko Köbler,"Keycloak Expert, Freelancer",710,fullname,2026-06-28,
matthias koch,Mecrisp,HIGH,Matthias Koch,,41,fullname,2026-06-28,
christian kolbe,chk-comsysto,HIGH,Christian Kolbe,,4,fullname+jvmrepo,2026-06-28,
marius kollner,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
audrey kolski,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
rico komenda,RicoKomenda,HIGH,Rico Komenda,adesso SE,17,fullname,2026-06-28,
patrick kopp,PatersonKopp,MED,Patrick Kopp,codestryke,1,fullname,2026-06-28,2026-09-26
david kopp,davidkopp,HIGH,David Kopp,envite consulting GmbH,18,fullname+jvmrepo,2026-06-28,
danny koppenhagen,d-koppenhagen,HIGH,Danny Koppenhagen,DB Systel GmbH,190,fullname,2026-06-28,
maria korneeva,mkorneeva1,MED,Maria Korneeva,,0,fullname,2026-06-28,2026-09-26
jonas kortum,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
christian kosmowski,ckosmowski,HIGH,Christian Kosmowski,,5,fullname+jvmrepo,2026-06-28,
michael kotten,michbeck100,MED,Michael Kotten,Freelancer,20,fullname,2026-06-28,2026-09-26
peter krajcik,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
martina kraus,martinakraus,HIGH,Martina Kraus,Kraus IT Consulting,171,fullname,2026-06-28,
julian krischker,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
alexander kroll,alex-kroll,HIGH,Alexander Kroll,NTT DATA Deutschland GmbH,2,fullname,2026-06-28,
peter kroner,SirPepe,HIGH,Peter Kröner,Storyblok,301,fullname,2026-06-28,
thomas kruse,thomaskruse,MED,Thomas Kruse,,0,fullname,2026-06-28,2026-09-26
sebastian kuhnau,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
michael kulla,michaelkulla,HIGH,Michael Kulla,@GEDOPLAN,0,fullname,2026-06-28,
anja kunkel,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
peter kutschera,pkutschera,HIGH,Peter Kutschera,envite Consulting,3,fullname+jvmrepo,2026-06-28,
ram lakshmanan,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
stephane landelle,slandelle,HIGH,Stephane Landelle,@gatling,291,fullname,2026-06-28,
david leitner,duffleit,HIGH,David Leitner,squer.io,58,fullname,2026-06-28,
karsten lentzsch,KLentzsch,MED,Karsten Lentzsch,JGoodies ,4,fullname,2026-06-28,2026-09-26
carola lilienthal,lilienth,HIGH,Carola Lilienthal,,20,fullname+jvmrepo,2026-06-28,
martin lippert,martinlippert,HIGH,Martin Lippert,Broadcom,309,fullname,2026-06-28,
malin litwinski,malinshirin,MED,Malin Litwinski,,4,fullname,2026-06-28,2026-09-26
andreas loew,CodeAndWeb,HIGH,Andreas Loew,CodeAndWeb GmbH,286,fullname+dominant,2026-06-28,
katharina lohrke,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
michael loibl,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
thorsten lorenz,thlorenz,HIGH,Thorsten Lorenz,,1671,fullname,2026-06-28,
daniel lubke,dluebke,HIGH,Daniel Lübke,"self-employeed, iQuest GmbH",8,fullname+jvmrepo,2026-06-28,
frank lyaruu,flyaruu,HIGH,Frank Lyaruu,Hightech Innovators,103,fullname+jvmrepo,2026-06-28,
larry maccherone,lmaccherone,MED,Larry Maccherone,,65,fullname,2026-06-28,2026-09-26
sahak maloyan,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
artur margonari,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
simon martinelli,simasch,HIGH,Simon Martinelli,@martinellich,347,fullname+jvmrepo,2026-06-28,
thomas mauch,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
manuel mauky,manuel-mauky,HIGH,Manuel Mauky,Zeiss Digital Innovation AG,100,fullname+dominant,2026-06-28,
yara mayer,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
darrell mcdonald,DarrellMcDonald,HIGH,Darrell McDonald,HCL Software,0,fullname,2026-06-28,
moritz meid,MoritzMeid,MED,Moritz Meid,Chainguard Inc.,24,fullname,2026-06-28,2026-09-26
stefan menschner,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
sebastian meyen,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
christoph meyer,Christoph-Meyer,HIGH,Christoph Meyer,@viadee ,9,fullname,2026-06-28,
ondro mihalyi,OndrejM-demonstrations,HIGH,Ondro Mihályi - public demonstrations and talks,,0,fullname,2026-06-28,
uladzimir mihura,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
russell miles,milesrussell,HIGH,Miles Russell,,2,fullname,2026-06-28,
julius mischok,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
enzio mittag,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
bilal mohammed,Bilalbasheer100,HIGH,Mohammed Bilal,,7,fullname,2026-06-28,
cathrin moller,ProfCathrinMoeller,MED,Prof. Dr. Cathrin Möller,,1,fullname,2026-06-28,2026-09-26
adrian moller,adrianmoeller,HIGH,Adrian Möller,,3,fullname,2026-06-28,
sascha mollering,SaschaMoellering,HIGH,Sascha Möllering,http://autoscaling.io,37,fullname+jvmrepo,2026-06-28,
andreas monschau,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
diana montalion,dianamontalion,MED,Diana Montalion,@MentrixGroup ,9,fullname,2026-06-28,2026-09-26
thomas much,thmuch,HIGH,Thomas Much,@DieTechniker,39,fullname,2026-06-28,
thomas muller,Tom94,HIGH,Thomas Müller,NVIDIA,1292,fullname+dominant,2026-06-28,
sven muller,svenmueller,MED,Sven Müller,commercetools GmbH,32,fullname,2026-06-28,2026-09-26
robin muller,MrRoundRobin,HIGH,Robin Müller,@Microsoft,148,fullname+dominant,2026-06-28,
ralf d muller,rdmueller,HIGH,Ralf D. Müller,@dbsystel ,199,fullname-ascii+org,2026-06-28,
frank muller,suchasurge,MED,Frank Müller,,26,fullname,2026-06-28,2026-09-26
bjorn muller,muellerbjoern,MED,Björn Müller,,6,fullname,2026-06-28,2026-09-26
bernd muller,BerndMuller,HIGH,Bernd Müller,,14,fullname+jvmrepo,2026-06-28,
nils muller sheffer,n-ms,HIGH,Nils Müller-Sheffer,@TwoDigits ,3,fullname-ascii,2026-06-28,
janik munk,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
daniel murrmann,danielmurrmann,HIGH,Daniel Murrmann,@fancyDevelopment @Continental @angular-architects,26,fullname,2026-06-28,
matthias naab,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
serge ndong,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
stefan negele,stefannegele,HIGH,Stefan Negele,INNOQ,20,fullname+jvmrepo,2026-06-28,
jennifer nerlich,jnerlich,HIGH,Jennifer Nerlich,vogella GmbH,6,fullname,2026-06-28,
johannes neubauer,juangamnik,HIGH,Johannes Neubauer,,10,fullname+jvmrepo,2026-06-28,
nikolai neugebauer,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
uwe neukam,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
noah neukam,n-nkm,HIGH,Noah Neukam,,3,fullname+jvmrepo,2026-06-28,
jorg neumann,JoergNeumann,HIGH,Jörg Neumann,NeoGeeks GmbH,25,fullname,2026-06-28,
diana neuwirth,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
christopher neuwirth,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
hajo normann,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
ikenna nwaiwu,ikenna,MED,Ikenna Nwaiwu,,22,fullname,2026-06-28,2026-09-26
martin o hanlon,martinohanlon,HIGH,Martin O'Hanlon,@AdventuresInMinecraft ,289,fullname,2026-06-28,
simona oancea,simonaOancea,HIGH,Simona Oancea,,6,fullname+jvmrepo,2026-06-28,
peter oosterlynck,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
tasha oriwoh,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
manuel ottlik,manuelottlik,MED,Manuel Ottlik,@edact,16,fullname,2026-06-28,2026-09-26
sandra parsick,sparsick,HIGH,Sandra Parsick,IT Freelancer,154,fullname+jvmrepo,2026-06-28,
stefan pauka,derfrodo,HIGH,Stefan Pauka,@materna-se,7,fullname,2026-06-28,
sven peeters,sven-peeters,HIGH,Sven Peeters,Atruvia AG,3,fullname,2026-06-28,
sara pellegrini,saratry,MED,sara pellegrini,,26,fullname,2026-06-28,2026-09-26
olivier petri,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
daniel pfeiffer,mediabounds,MED,Daniel Pfeiffer,,9,fullname,2026-06-28,2026-09-26
florian pfleiderer,florianpfleiderer,HIGH,Florian Pfleiderer,Agile Robots SE,14,fullname,2026-06-28,
frederik pietzko,frederikpietzko,HIGH,Frederik Pietzko,iits-consulting,8,fullname,2026-06-28,
wolfgang pleus,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
tobias polley,rrayst,HIGH,Tobias Polley,predic8 GmbH,15,fullname+jvmrepo,2026-06-28,
daniel potzinger,danielpoe,HIGH,Daniel Pötzinger,AOE GmbH,42,fullname,2026-06-28,
stefan priebsch,spriebsch,HIGH,Stefan Priebsch,The PHP Consulting Company,261,fullname,2026-06-28,
nithish raghunandanan,nithishr,HIGH,Nithish Raghunandanan,,35,fullname+org,2026-06-28,
natalie ramp,Schnapumpel13,MED,Natalie Ramp,,0,fullname,2026-06-28,2026-09-26
florian rappl,FlorianRappl,HIGH,Florian Rappl,@smapiot,514,fullname+dominant,2026-06-28,
nicole rauch,NicoleRauch,HIGH,Nicole Rauch,,64,fullname+jvmrepo,2026-06-28,
sarah rayfuse,Moonunit27,MED,Sarah Rayfuse,Sysco AS,0,fullname,2026-06-28,2026-09-26
bernd rederlechner,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
lars reichert,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
stephen reindl,steven-r,HIGH,Stephen Reindl,Too many to mention them all here,0,fullname,2026-06-28,
justin reock,jreock,HIGH,Justin Reock,DX (getdx.com),10,fullname+jvmrepo,2026-06-28,
stefan reuter,srt,HIGH,Stefan Reuter,reuter network consulting,50,fullname+org,2026-06-28,
maren reuter,MarenReuter,MED,Maren Reuter,,0,fullname,2026-06-28,2026-09-26
sebastian rhode,sebi06,HIGH,Sebastian Rhode,Carl Zeiss Microscopy GmbH,68,fullname,2026-06-28,
mona riabacke,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
mirko richter,rimi,HIGH,Mirko Richter,mgm security partners GmbH,2,fullname,2026-06-28,
thomas riedel,Thomas-Riedel,MED,Thomas Riedel,,2,fullname,2026-06-28,2026-09-26
tobias rohm,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
peter ro bach,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
dominik rost,domrost,MED,Dominik Rost,Full Flamingo,7,fullname,2026-06-28,2026-09-26
stefan rotsch,srotsch,HIGH,Stefan Rotsch,AOE GmbH,7,fullname,2026-06-28,
lars rowekamp,,UNRESOLVED,,,,fullname-ascii,2026-06-28,2026-09-26
bernd rucker,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
alexandra rupp,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
paul salazar,PaulRSM1804,HIGH,Paul Salazar,,0,fullname+jvmrepo,2026-06-28,
jairo santana,oriajsan,HIGH,Jairo Santana,,7,fullname+jvmrepo,2026-06-28,
nils saphorster,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
milan savic,m1l4n54v1c,HIGH,Milan Savic,,20,fullname+jvmrepo,2026-06-28,
valentin sawadski,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
eugen sawitzki,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
tim schade,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
steffen schafer,steffenschaefer,HIGH,Steffen Schäfer,,10,fullname+jvmrepo,2026-06-28,
frank scheffler,maverick1601,HIGH,Frank Scheffler,Digital Frontiers GmbH & Co. KG,17,fullname+jvmrepo,2026-06-28,
frederieke scheper,fbascheper,HIGH,Frederieke Scheper,Sopra Steria,29,fullname+jvmrepo,2026-06-28,
thomas schilling,tschuehly,HIGH,Thomas Schilling,PhotoQuest,105,fullname,2026-06-28,
thomas schissler,tschissler,HIGH,Thomas Schissler,agileMax,13,fullname,2026-06-28,
markus schlegel,markschl,MED,Markus Schlegel,Swiss Federal Research Institute WSL ,16,fullname,2026-06-28,2026-09-26
thorsten schleinzer,schleinzer,HIGH,Thorsten Schleinzer,schleinzer,0,fullname+jvmrepo,2026-06-28,
jan christoph schlieker,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
alexander schluter,alexschlueter,MED,Alexander Schlüter,University of Münster,14,fullname,2026-06-28,2026-09-26
robert schmelzer,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
silke schmid,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
volker schmidt,volkermobilab,HIGH,Volker Schmidt,MobiLab Solutions GmbH,2,fullname+jvmrepo,2026-06-28,
jan schmidt,thaytan,MED,Jan Schmidt,,169,fullname,2026-06-28,2026-09-26
andy schmidt,bentreflection,MED,Andy Schmidt,,8,fullname,2026-06-28,2026-09-26
daniel schmitz hubsch,DanielSchH,MED,Daniel Schmitz-Hübsch,Materna Information & Communications SE,5,fullname,2026-06-28,2026-09-26
matthias schneider,dermatthias,MED,Matthias Schneider,,30,fullname,2026-06-28,2026-09-26
christian schneider,cschneider4711,HIGH,Christian Schneider,Freelancer,214,fullname,2026-06-28,
michael schock,mjschock,MED,Michael Schock,,42,fullname-ascii,2026-06-28,2026-09-26
alexander schramm,Mindar,MED,Alexander Schramm,,2,fullname,2026-06-28,2026-09-26
silvia schreier,saivlis,HIGH,Silvia Schreier,,6,fullname+jvmrepo,2026-06-28,
rene schroder,derrrey,MED,René Schröder,,5,fullname,2026-06-28,2026-09-26
sarah schuh,TraumSchuh,MED,Sarah Schuh,Traum-Ferienwohnungen.de,0,fullname,2026-06-28,2026-09-26
katja schulke,katjaschulke,MED,Katja Schulke,,0,fullname,2026-06-28,2026-09-26
lothar schulz,lotharschulz,HIGH,Lothar Schulz,,81,fullname+jvmrepo,2026-06-28,
sven schuster,svenschuster,MED,Sven Schuster,,2,fullname,2026-06-28,2026-09-26
christian schuster,chschu,HIGH,Christian Schuster,,7,fullname+jvmrepo,2026-06-28,
cristian schuszter,saibot94,HIGH,Cristian Schuszter,@CERN,44,fullname+jvmrepo,2026-06-28,
artur schwarz,arturschwarz,HIGH,Artur Schwarz,,8,fullname,2026-06-28,
christian seifert,christian-forta,HIGH,Christian Seifert,Forta Foundation,10,fullname,2026-06-28,
alex semin,alllex,HIGH,Alex Semin,@gradle ,79,fullname,2026-06-28,
paul senkel,PaulSenkel,HIGH,Paul Senkel,,2,fullname+jvmrepo,2026-06-28,
tim sevenich,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
shohre shaddelian,shohreh-sh,MED,shohre shaddelian,,11,fullname,2026-06-28,2026-09-26
aminata sidibe,wuschey,MED,Aminata Sidibe,,12,fullname,2026-06-28,2026-09-26
marco sieben,sieben-marco,HIGH,Marco Sieben,,12,fullname+jvmrepo,2026-06-28,
karsten silz,ksilz,HIGH,Karsten Silz,Better Projects Faster GmbH,11,fullname,2026-06-28,
michael simons,michael-simons,HIGH,Michael Simons,@neo4j ,554,fullname,2026-06-28,
falk sippach,sippsack,HIGH,Falk Sippach,@dukecon @jugda @embarced,35,fullname,2026-06-28,
karsten sitterberg,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
kilian soerries,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
ralf somplatzki,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
maximilian sparenberg,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
sebastian spautz,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
sebastian springer,sspringer82,HIGH,Sebastian Springer,MaibornWolff GmbH,172,fullname+dominant,2026-06-28,
christoph stabler,creydr,HIGH,Christoph Stäbler,Red Hat,23,fullname,2026-06-28,
bjorn stahl,BjoernStahl-zanox,HIGH,Björn Stahl,zanox.de AG,2,fullname+jvmrepo,2026-06-28,
jan stamer,remast,HIGH,Jan Stamer,@crossnative,31,fullname,2026-06-28,
gernot starke,gernotstarke,HIGH,Dr. Gernot Starke,INNOQ,225,fullname,2026-06-28,
frank steimle,steimlfk,MED,Frank Steimle,,2,fullname,2026-06-28,2026-09-26
felix stein,flxn,HIGH,Felix Stein,,60,fullname+jvmrepo,2026-06-28,
christian stein,sormuras,HIGH,Christian Stein,Oracle,396,fullname+jvmrepo,2026-06-28,
alina stein,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
frank stepan,,UNRESOLVED,,,,fullname,2026-06-28,2026-09-26
manfred steyer,manfredsteyer,HIGH,Manfred Steyer,,2666,fullname,2026-06-28,
marvin stoppelkotter,,UNRESOLVED,,,,broad,2026-06-28,2026-09-26
walery strauch,walery,HIGH,Walery Strauch,@qubitoss ,50,fullname,2026-06-28,
rainer stropek,rstropek,HIGH,Rainer Stropek,software architects,1103,fullname+dominant,2026-06-28,
martin stypinski,Styp,HIGH,Martin Stypinski,Veemg GmbH,27,fullname,2026-06-28,
aurelien svevi,svevia,HIGH,Aurélien SVEVI,,8,fullname+jvmrepo,2026-06-28,
papick taboada,pgtaboada,HIGH,Papick Garcia Taboada,pgt technology scouting GmbH,2,fullname+jvmrepo,2026-06-28,
david tanzer,dtanzer,HIGH,David Tanzer,,22,alias,2026-06-28,
daniel terhorst north,tastapod,HIGH,Daniel Terhorst-North,Dan North & Associates,202,fullname-ascii+jvmrepo,2026-06-28,
